value,2,2_label,18,18_label,19,19_label,29,29_label,40,40_label,63,63_label,70,70_label,reference_date,reference_date_label
5.48,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1970-12-31,1970-12-31
9.18,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1971-12-31,1971-12-31
7.52,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1972-12-31,1972-12-31
11.87,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1973-12-31,1973-12-31
18.66,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1974-12-31,1974-12-31
19.44,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1975-12-31,1975-12-31
18.07,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1976-12-31,1976-12-31
25.15,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1977-12-31,1977-12-31
19.64,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1978-12-31,1978-12-31
20.61,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1979-12-31,1979-12-31
22.16,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1980-12-31,1980-12-31
17.44,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1981-12-31,1981-12-31
19.25,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1982-12-31,1982-12-31
24.98,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1983-12-31,1983-12-31
24.31,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1984-12-31,1984-12-31
21.47,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1985-12-31,1985-12-31
18.33,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1986-12-31,1986-12-31
10.73,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1987-12-31,1987-12-31
12.34,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1988-12-31,1988-12-31
11.54,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1989-12-31,1989-12-31
13.09,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1990-12-31,1990-12-31
11.42,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1991-12-31,1991-12-31
10.33,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1992-12-31,1992-12-31
6.03,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1993-12-31,1993-12-31
6.51,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1994-12-31,1994-12-31
5.44,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1995-12-31,1995-12-31
2.39,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1996-12-31,1996-12-31
3.89,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1997-12-31,1997-12-31
3.83,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1998-12-31,1998-12-31
3.37,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,1999-12-31,1999-12-31
3.42,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2000-12-31,2000-12-31
3.72,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2001-12-31,2001-12-31
4.19,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2002-12-31,2002-12-31
3.43,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2003-12-31,2003-12-31
2.4,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2004-12-31,2004-12-31
3.33,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2005-12-31,2005-12-31
3.18,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2006-12-31,2006-12-31
2.97,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2007-12-31,2007-12-31
1.74,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2008-12-31,2008-12-31
1.1,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2009-12-31,2009-12-31
0.78,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2010-12-31,2010-12-31
-0.26,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2011-12-31,2011-12-31
-0.38,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2012-12-31,2012-12-31
2.27,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2013-12-31,2013-12-31
0.72,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2014-12-31,2014-12-31
1.96,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2015-12-31,2015-12-31
1.85,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2016-12-31,2016-12-31
1.53,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2017-12-31,2017-12-31
1.85,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2018-12-31,2018-12-31
1.83,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2019-12-31,2019-12-31
2.1,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2020-12-31,2020-12-31
2.02,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2021-12-31,2021-12-31
5.33,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2022-12-31,2022-12-31
7.49,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2023-12-31,2023-12-31
4.87,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2024-12-31,2024-12-31
3.92,4261,Gross domestic product at market prices,4308,Statistics Portugal,14,Prices,3653,Year-on-year rate of change,4267,Annual,349,Portugal,3327,Percentage,2025-12-31,2025-12-31
