year,flow,component_group,aggregate_value,component_sum,absolute_residual,relative_residual,expected_partner_count,observed_partner_count,status,note
1968,M,efta_eec_fixed_partner_sample_ine_benchmark,,18825511000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1968,X,colonial_overseas_territories,5475551000.0,5474950000.0,601000.0,0.00010976064326676895,8,7,residual_documented_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1968,X,efta_eec_fixed_partner_sample_ine_benchmark,,10951917000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1969,M,colonial_overseas_territories,5599464000.0,5599464000.0,0.0,0.0,8,7,exact_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1969,M,efta_eec_fixed_partner_sample_ine_benchmark,,21616337000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1969,X,colonial_overseas_territories,6080609000.0,6080600000.0,9000.0,1.4801149029644892e-06,8,7,residual_documented_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1969,X,efta_eec_fixed_partner_sample_ine_benchmark,,12874215000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1970,M,colonial_overseas_territories,6716990000.0,6716990000.0,0.0,0.0,8,7,exact_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1970,M,efta_eec_fixed_partner_sample_ine_benchmark,,25594193000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1970,X,colonial_overseas_territories,6687814000.0,6687214000.0,600000.0,8.971541373608775e-05,8,7,residual_documented_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1970,X,efta_eec_fixed_partner_sample_ine_benchmark,,14135426000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1971,M,colonial_overseas_territories,6944279000.0,6943679000.0,600000.0,8.640205844264034e-05,8,7,residual_documented_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1971,M,efta_eec_fixed_partner_sample_ine_benchmark,,29817871000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1971,X,colonial_overseas_territories,6489620000.0,6489620000.0,0.0,0.0,8,7,exact_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1971,X,efta_eec_fixed_partner_sample_ine_benchmark,,16526368000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1972,M,colonial_overseas_territories,7044659000.0,7044659000.0,0.0,0.0,8,7,exact_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1972,M,efta_eec_fixed_partner_sample_ine_benchmark,,33377777000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1972,X,colonial_overseas_territories,5165014000.0,5165014000.0,0.0,0.0,8,7,exact_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1972,X,efta_eec_fixed_partner_sample_ine_benchmark,,20920318000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1973,M,colonial_overseas_territories,7538574000.0,7538575000.0,-1000.0,-1.3265108228691528e-07,8,7,residual_documented_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1973,M,efta_eec_fixed_partner_sample_ine_benchmark,,41535027000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1973,X,colonial_overseas_territories,6739823000.0,6739822000.0,1000.0,1.4837184893431178e-07,8,7,residual_documented_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1973,X,efta_eec_fixed_partner_sample_ine_benchmark,,27294329000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
