slug,series_id,concept,label,domain_id,dataset_id,frequency,units,price_basis,first_observation,last_observation,territorial_definition,reconstruction_method,methodological_breaks,source_status,review_status,rejection_or_hold_reason,project_period_coverage_status,project_period_overlap_start_year,project_period_overlap_end_year
manufacturing_employment,5739362,manufacturing_employment,Employment-16 to 89 years (thousands)-Mining and manufacturing-Quarterly,13,c95282a6e897efdc36832d5611fac100,quarterly,thousands of people,not_applicable,2011-03-31,2026-03-31,Portugal reference territory in BPstat metadata,labour_market_quarterly_series,not_reviewed_in_source_notes,original_or_harmonised_not_yet_confirmed,rejected_for_1960_1973,Coverage starts after the project period.,outside_project_period,,
manufacturing_gva_current_annual,12706416,manufacturing_value_added,GVA-Manufacturing-annual-current prices,55,db0366b1f32fc6842a7541885fcb5600,annual,millions of euros,current_prices,1953-12-31,2025-12-31,Portugal reference territory in BPstat metadata; historical industrial classification comparability not yet independently reviewed,national_accounts_production_approach_historical_series,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,Accepted for context only; extraction disabled until industry classification breaks are reviewed.,covers_full_project_period,1960,1973
manufacturing_gva_deflator_yoy_annual,12706642,manufacturing_value_added_deflator_growth,Deflators of GVA-Manufacturing-YoY-annual,181,f8d9de1f6eafa76afc24ab71b570bf4c,annual,year_over_year_percent_change,deflator_yoy,1954-12-31,2025-12-31,Portugal reference territory in BPstat metadata; historical industrial classification comparability not yet independently reviewed,national_accounts_deflator_historical_series,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,Accepted for context only; extraction disabled until industry classification breaks are reviewed.,covers_full_project_period,1960,1973
gdp_current_prices_annual,12518356,nominal_gdp,GDP at market prices-CP-A,54,ce3e4e50cda325537eff729ef64037cd,annual,millions of euros,current_prices,1953-12-31,2025-12-31,Portugal reference territory in BPstat metadata; historical treatment of overseas territories not yet independently reviewed,national_accounts_expenditure_approach_historical_series,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,Accepted for context only; extraction disabled until territorial and methodological definitions are reviewed.,covers_full_project_period,1960,1973
tspe_gdp_current_prices_quarterly,12562584,nominal_gdp,TSPE-GDP-Quarterly-Current prices-M€,31,8a9766347128321e0bd8a7806d8d2c02,quarterly,millions of euros,current_prices,1977-03-31,2024-12-31,Portugal reference territory in BPstat metadata,time_series_for_the_portuguese_economy,not_reviewed_in_source_notes,original_or_harmonised_not_yet_confirmed,rejected_for_1960_1973,Coverage starts after the project period; annual domain 54 candidate covers the project period instead.,outside_project_period,,
resident_population_total,12711757,population,Resident population-thousands of people-annual,13,b8cc662879c9f7b0f3faf89c7871fc38,annual,thousands of people,not_applicable,1941-12-31,2025-12-31,Portugal reference territory in BPstat metadata,source_published_series,not_reviewed_in_source_notes,original_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,Confirm historical treatment of overseas territories before analytical use.,covers_full_project_period,1960,1973
exports_goods_services_chain_linked_annual,12518320,real_exports_goods_services,Exports of goods and services-CLV-A,54,ce3e4e50cda325537eff729ef64037cd,annual,millions of euros,chain_linked_volume,1954-12-31,2025-12-31,"Portugal reference territory in BPstat metadata; national-accounts goods-and-services concept, not merchandise-only trade",national_accounts_expenditure_approach_historical_series,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,Accepted for macro context only; not a replacement for INE/Comtrade merchandise-trade totals.,covers_full_project_period,1960,1973
real_gdp_chain_linked_annual,12518324,real_gdp,GDP at market prices-CLV-A,54,ce3e4e50cda325537eff729ef64037cd,annual,millions of euros,chain_linked_volume,1954-12-31,2025-12-31,Portugal reference territory in BPstat metadata; historical treatment of overseas territories not yet independently reviewed,national_accounts_expenditure_approach_historical_series,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,Accepted for context only; extraction disabled until territorial and methodological definitions are reviewed.,covers_full_project_period,1960,1973
gross_fixed_capital_formation_chain_linked_annual,12518329,real_gross_fixed_capital_formation,Gross fixed capital formation-CLV-A,54,ce3e4e50cda325537eff729ef64037cd,annual,millions of euros,chain_linked_volume,1954-12-31,2025-12-31,Portugal reference territory in BPstat metadata; historical treatment of overseas territories not yet independently reviewed,national_accounts_expenditure_approach_historical_series,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,Accepted for context only; extraction disabled until territorial and methodological definitions are reviewed.,covers_full_project_period,1960,1973
imports_goods_services_chain_linked_annual,12518323,real_imports_goods_services,Imports of goods and services-CLV-A,54,ce3e4e50cda325537eff729ef64037cd,annual,millions of euros,chain_linked_volume,1954-12-31,2025-12-31,"Portugal reference territory in BPstat metadata; national-accounts goods-and-services concept, not merchandise-only trade",national_accounts_expenditure_approach_historical_series,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,Accepted for macro context only; not a replacement for INE/Comtrade merchandise-trade totals.,covers_full_project_period,1960,1973
manufacturing_gva_chain_linked_annual,12706415,real_manufacturing_value_added,GVA-Manufacturing-annual-chain-linked values,55,db0366b1f32fc6842a7541885fcb5600,annual,millions of euros,chain_linked_volume,1954-12-31,2025-12-31,Portugal reference territory in BPstat metadata; historical industrial classification comparability not yet independently reviewed,national_accounts_production_approach_historical_series,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,Accepted for context only; extraction disabled until industry classification breaks are reviewed.,covers_full_project_period,1960,1973
travel_credit,12511581,tourism_exports,Travel-Credit-Seasonally and calendar effects adjusted-Monthly-M€,3,4c4e01bce4a325307e95143e099a1a50,monthly,millions of euros,current_prices,1996-01-31,2026-05-31,Portugal reference territory; non-resident counterparty scope,balance_of_payments_monthly_series,not_reviewed_in_source_notes,original_or_harmonised_not_yet_confirmed,rejected_for_1960_1973,Coverage starts after the project period.,outside_project_period,,
