year,flow,concept,source_a,source_b,source_a_value,source_b_value,absolute_difference,relative_difference,unit,valuation_basis,territorial_definition_a,territorial_definition_b,reconciliation_status,explanation,evidence_reference,signed_difference,relative_difference_denominator,source_a_original_value,source_a_currency,source_b_original_value,source_b_currency,conversion_method,expected_partner_count,observed_partner_count,coverage_ratio,value_coverage_ratio,missing_partner_entities
1964,X,Overseas exports,UN Comtrade,INE,128641990.0,128919547.82608695,277557.8260869533,-0.002152953766649725,USD,special trade; export values follow INE explanatory note conventions,Observed Comtrade configured colonial partner subset; INE overseas territories not returned or not registered as Comtrade areas remain unresolved.,Ultramar row in the INE statistical-territory table; individual territories are listed separately below the aggregate row,resolved_for_dataset_ine_preferred_complete_aggregate,"INE provides the complete overseas aggregate and is the preferred source for complete colonial shares. The Comtrade colonial partner subset remains an observed lower-bound diagnostic: it covers only the returned partners, while the contemporaneous INE overseas category includes additional source-specific territories.","INE Volume I PDF page 48 (Quadro III - Comercio especial, por territorios estatisticos); data/interim/live/comtrade_coverage_matrix.csv 1964 colonial partner rows; config/historical_groups.yml colonies group.",-277557.8260869533,source_b_value_converted_to_USD,128641990.0,USD,3706437000.0,PTE,source_b_original_value / 28.75; registered 1964 PTE/USD rate,8,4,0.5,0.9978470462333503,cabo_verde;macao;portuguese_india;sao_tome_principe
1964,M,Overseas imports,UN Comtrade,INE,115615718.0,115651095.6521739,35377.652173906565,-0.00030589984447969705,USD,special trade; import values declared by importers and accepted by customs per explanatory note,Observed Comtrade configured colonial partner subset; INE overseas territories not returned or not registered as Comtrade areas remain unresolved.,Ultramar row in the INE statistical-territory table; individual territories are listed separately below the aggregate row,resolved_for_dataset_ine_preferred_complete_aggregate,"INE provides the complete overseas aggregate and is the preferred source for complete colonial shares. The Comtrade colonial partner subset remains an observed lower-bound diagnostic: it covers only the returned partners, while the contemporaneous INE overseas category includes additional source-specific territories.","INE Volume I PDF page 46 (Quadro III - Comercio especial, por territorios estatisticos); data/interim/live/comtrade_coverage_matrix.csv 1964 colonial partner rows; config/historical_groups.yml colonies group.",-35377.652173906565,source_b_value_converted_to_USD,115615718.0,USD,3324969000.0,PTE,source_b_original_value / 28.75; registered 1964 PTE/USD rate,8,4,0.5,0.9996941001555203,cabo_verde;macao;portuguese_india;sao_tome_principe
1965,X,World exports,UN Comtrade,INE,576399168.0,576439547.826087,40379.826086997986,-7.005040899654001e-05,USD,special trade; export values to be confirmed from source notes,requires_historical_metadata_review,INE statistical territories as printed in the 1965 volume; verify against page 23,reconciled_with_conversion,"World totals reconcile within tolerance after converting at the registered 1965 rate of 28.75 PTE/USD. Reporter-territory evidence remains a caveat, so Comtrade is retained as a benchmark rather than merged into the INE source universe.",INE Volume I PDF page 38 (Quadro II - Comercio especial. Exportacao); results/diagnostics/comtrade_coverage/comtrade_coverage_audit.csv 1965 X World row; data/interim/live/portugal_exchange_rate_evidence.csv.,-40379.826086997986,source_b_value_converted_to_USD,576399168.0,USD,16572637000.0,PTE,source_b_original_value / 28.75; registered 1965 PTE/USD rate,,,,,
1965,M,World imports,UN Comtrade,INE,923515840.0,923573669.5652174,57829.565217375755,-6.261499988907184e-05,USD,special trade; import values to be confirmed from source notes,requires_historical_metadata_review,INE statistical territories as printed in the 1965 volume; verify against page 23,reconciled_with_conversion,"World totals reconcile within tolerance after converting at the registered 1965 rate of 28.75 PTE/USD. Reporter-territory evidence remains a caveat, so Comtrade is retained as a benchmark rather than merged into the INE source universe.",INE Volume I PDF page 30 (Quadro I - Comercio especial. Importacao); results/diagnostics/comtrade_coverage/comtrade_coverage_audit.csv 1965 M World row; data/interim/live/portugal_exchange_rate_evidence.csv.,-57829.565217375755,source_b_value_converted_to_USD,923515840.0,USD,26552743000.0,PTE,source_b_original_value / 28.75; registered 1965 PTE/USD rate,,,,,
1965,X,Overseas exports,UN Comtrade,INE,143866044.0,144001008.6956522,134964.69565218687,-0.0009372482656523353,USD,special trade; export values to be confirmed from source notes,Observed Comtrade configured colonial partner subset; INE overseas territories not returned or not registered as Comtrade areas remain unresolved.,INE statistical territories as printed in the 1965 volume; verify against page 23,resolved_for_dataset_ine_preferred_complete_aggregate,"INE provides the complete overseas aggregate and is the preferred source for complete colonial shares. The Comtrade colonial partner subset remains an observed lower-bound diagnostic: it covers only the returned partners, while the contemporaneous INE overseas category includes additional source-specific territories.",INE Volume I PDF page 50 (Quadro III - Comercio especial por territorios estatisticos - Exportacao); data/interim/live/comtrade_coverage_matrix.csv 1965 colonial partner rows; config/historical_groups.yml colonies group.,-134964.69565218687,source_b_value_converted_to_USD,143866044.0,USD,4140029000.0,PTE,source_b_original_value / 28.75; registered 1965 PTE/USD rate,8,4,0.5,0.9990627517343477,cabo_verde;macao;portuguese_india;sao_tome_principe
1965,M,Overseas imports,UN Comtrade,INE,126958500.0,127000800.0,42300.0,-0.0003330687680707523,USD,special trade; import values to be confirmed from source notes,Observed Comtrade configured colonial partner subset; INE overseas territories not returned or not registered as Comtrade areas remain unresolved.,INE statistical territories as printed in the 1965 volume; verify against page 23,resolved_for_dataset_ine_preferred_complete_aggregate,"INE provides the complete overseas aggregate and is the preferred source for complete colonial shares. The Comtrade colonial partner subset remains an observed lower-bound diagnostic: it covers only the returned partners, while the contemporaneous INE overseas category includes additional source-specific territories.",INE Volume I PDF page 48 (Quadro III - Comercio especial por territorios estatisticos - Importacao); data/interim/live/comtrade_coverage_matrix.csv 1965 colonial partner rows; config/historical_groups.yml colonies group.,-42300.0,source_b_value_converted_to_USD,126958500.0,USD,3651273000.0,PTE,source_b_original_value / 28.75; registered 1965 PTE/USD rate,8,4,0.5,0.9996669312319293,cabo_verde;macao;portuguese_india;sao_tome_principe
1966,X,World exports,UN Comtrade,INE,619503488.0,619537391.3043479,33903.304347872734,-5.47235805679043e-05,USD,special trade; export values follow INE explanatory note conventions,requires_historical_metadata_review,"INE statistical territories as printed in the 1966 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",reconciled_with_conversion,"World totals reconcile within tolerance after converting at the registered 1966 rate of 28.75 PTE/USD. Reporter-territory evidence remains a caveat, so Comtrade is retained as a benchmark rather than merged into the INE source universe.","INE Volume I PDF page 48 (Quadro III - Comercio especial, por paises e territorios estatisticos); results/diagnostics/comtrade_coverage/comtrade_coverage_audit.csv 1966 X World row; data/interim/live/portugal_exchange_rate_evidence.csv.",-33903.304347872734,source_b_value_converted_to_USD,619503488.0,USD,17811700000.0,PTE,source_b_original_value / 28.75; registered 1966 PTE/USD rate,,,,,
1966,M,World imports,UN Comtrade,INE,1022796800.0,1022832869.5652174,36069.565217375755,-3.526437826808215e-05,USD,special trade; import values declared by importers and accepted by customs per explanatory note,requires_historical_metadata_review,"INE statistical territories as printed in the 1966 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",reconciled_with_conversion,"World totals reconcile within tolerance after converting at the registered 1966 rate of 28.75 PTE/USD. Reporter-territory evidence remains a caveat, so Comtrade is retained as a benchmark rather than merged into the INE source universe.","INE Volume I PDF page 46 (Quadro III - Comercio especial, por paises e territorios estatisticos); results/diagnostics/comtrade_coverage/comtrade_coverage_audit.csv 1966 M World row; data/interim/live/portugal_exchange_rate_evidence.csv.",-36069.565217375755,source_b_value_converted_to_USD,1022796800.0,USD,29406445000.0,PTE,source_b_original_value / 28.75; registered 1966 PTE/USD rate,,,,,
1966,X,Overseas exports,UN Comtrade,INE,145838524.0,145985843.47826087,147319.47826087475,-0.0010091353706005916,USD,special trade; export values follow INE explanatory note conventions,Observed Comtrade configured colonial partner subset; INE overseas territories not returned or not registered as Comtrade areas remain unresolved.,Ultramar row in the INE statistical-territory table; individual territories are listed separately below the aggregate row,resolved_for_dataset_ine_preferred_complete_aggregate,"INE provides the complete overseas aggregate and is the preferred source for complete colonial shares. The Comtrade colonial partner subset remains an observed lower-bound diagnostic: it covers only the returned partners, while the contemporaneous INE overseas category includes additional source-specific territories.","INE Volume I PDF page 48 (Quadro III - Comercio especial, por paises e territorios estatisticos); data/interim/live/comtrade_coverage_matrix.csv 1966 colonial partner rows; config/historical_groups.yml colonies group.",-147319.47826087475,source_b_value_converted_to_USD,145838524.0,USD,4197093000.0,PTE,source_b_original_value / 28.75; registered 1966 PTE/USD rate,8,4,0.5,0.9989908646293995,cabo_verde;macao;portuguese_india;sao_tome_principe
1966,M,Overseas imports,UN Comtrade,INE,137102531.0,137135756.52173913,33225.52173912525,-0.00024228197358475397,USD,special trade; import values declared by importers and accepted by customs per explanatory note,Observed Comtrade configured colonial partner subset; INE overseas territories not returned or not registered as Comtrade areas remain unresolved.,Ultramar row in the INE statistical-territory table; individual territories are listed separately below the aggregate row,resolved_for_dataset_ine_preferred_complete_aggregate,"INE provides the complete overseas aggregate and is the preferred source for complete colonial shares. The Comtrade colonial partner subset remains an observed lower-bound diagnostic: it covers only the returned partners, while the contemporaneous INE overseas category includes additional source-specific territories.","INE Volume I PDF page 46 (Quadro III - Comercio especial, por paises e territorios estatisticos); data/interim/live/comtrade_coverage_matrix.csv 1966 colonial partner rows; config/historical_groups.yml colonies group.",-33225.52173912525,source_b_value_converted_to_USD,137102531.0,USD,3942653000.0,PTE,source_b_original_value / 28.75; registered 1966 PTE/USD rate,8,4,0.5,0.9997577180264152,cabo_verde;macao;portuguese_india;sao_tome_principe
1967,X,World exports,UN Comtrade,INE,701361664.0,701432486.9565217,70822.9565217495,-0.00010096902815130011,USD,special trade; export values follow INE explanatory note conventions,requires_historical_metadata_review,"INE statistical territories as printed in the 1967 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",unresolved,"World totals differ by -0.0101% after converting at the registered 1967 rate of 28.75 PTE/USD, which exceeds the reconciliation tolerance. Annual period-average conversion is a weaker approximation in years when the rate moved within the year.","INE Volume I PDF page 48 (Quadro III - Comercio especial, por paises e territorios estatisticos); results/diagnostics/comtrade_coverage/comtrade_coverage_audit.csv 1967 X World row; data/interim/live/portugal_exchange_rate_evidence.csv.",-70822.9565217495,source_b_value_converted_to_USD,701361664.0,USD,20166184000.0,PTE,source_b_original_value / 28.75; registered 1967 PTE/USD rate,,,,,
1967,M,World imports,UN Comtrade,INE,1059153920.0,1059221321.7391304,67401.73913037777,-6.363329150107286e-05,USD,special trade; import values declared by importers and accepted by customs per explanatory note,requires_historical_metadata_review,"INE statistical territories as printed in the 1967 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",reconciled_with_conversion,"World totals reconcile within tolerance after converting at the registered 1967 rate of 28.75 PTE/USD. Reporter-territory evidence remains a caveat, so Comtrade is retained as a benchmark rather than merged into the INE source universe.","INE Volume I PDF page 46 (Quadro III - Comercio especial, por paises e territorios estatisticos); results/diagnostics/comtrade_coverage/comtrade_coverage_audit.csv 1967 M World row; data/interim/live/portugal_exchange_rate_evidence.csv.",-67401.73913037777,source_b_value_converted_to_USD,1059153920.0,USD,30452613000.0,PTE,source_b_original_value / 28.75; registered 1967 PTE/USD rate,,,,,
1967,X,Overseas exports,UN Comtrade,INE,170851590.0,171041182.60869566,189592.60869565606,-0.001108461750579695,USD,special trade; export values follow INE explanatory note conventions,Observed Comtrade configured colonial partner subset; INE overseas territories not returned or not registered as Comtrade areas remain unresolved.,Provincias Ultramarinas row in the INE statistical-territory table; individual territories are listed separately below the aggregate row,resolved_for_dataset_ine_preferred_complete_aggregate,"INE provides the complete overseas aggregate and is the preferred source for complete colonial shares. The Comtrade colonial partner subset remains an observed lower-bound diagnostic: it covers only the returned partners, while the contemporaneous INE overseas category includes additional source-specific territories.","INE Volume I PDF page 48 (Quadro III - Comercio especial, por paises e territorios estatisticos); data/interim/live/comtrade_coverage_matrix.csv 1967 colonial partner rows; config/historical_groups.yml colonies group.",-189592.60869565606,source_b_value_converted_to_USD,170851590.0,USD,4917434000.0,PTE,source_b_original_value / 28.75; registered 1967 PTE/USD rate,8,4,0.5,0.9988915382494203,cabo_verde;macao;portuguese_india;sao_tome_principe
1967,M,Overseas imports,UN Comtrade,INE,151344788.0,151384382.60869566,39594.60869565606,-0.00026155015473426857,USD,special trade; import values declared by importers and accepted by customs per explanatory note,Observed Comtrade configured colonial partner subset; INE overseas territories not returned or not registered as Comtrade areas remain unresolved.,Provincias Ultramarinas row in the INE statistical-territory table; individual territories are listed separately below the aggregate row,resolved_for_dataset_ine_preferred_complete_aggregate,"INE provides the complete overseas aggregate and is the preferred source for complete colonial shares. The Comtrade colonial partner subset remains an observed lower-bound diagnostic: it covers only the returned partners, while the contemporaneous INE overseas category includes additional source-specific territories.","INE Volume I PDF page 46 (Quadro III - Comercio especial, por paises e territorios estatisticos); data/interim/live/comtrade_coverage_matrix.csv 1967 colonial partner rows; config/historical_groups.yml colonies group.",-39594.60869565606,source_b_value_converted_to_USD,151344788.0,USD,4352301000.0,PTE,source_b_original_value / 28.75; registered 1967 PTE/USD rate,8,4,0.5,0.9997384498452657,cabo_verde;macao;portuguese_india;sao_tome_principe
1968,X,World exports,UN Comtrade,INE,761222784.0,762315026.0869565,1092242.086956501,-0.0014327962188586192,USD,special trade; export values follow INE explanatory note conventions,requires_historical_metadata_review,"INE statistical territories as printed in the 1968 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",unresolved,"World totals differ by -0.1433% after converting at the registered 1968 rate of 28.75 PTE/USD, which exceeds the reconciliation tolerance. Annual period-average conversion is a weaker approximation in years when the rate moved within the year.","INE Volume I PDF page 43 (Quadro X - Comercio especial, por paises e territorios estatisticos); results/diagnostics/comtrade_coverage/comtrade_coverage_audit.csv 1968 X World row; data/interim/live/portugal_exchange_rate_evidence.csv.",-1092242.086956501,source_b_value_converted_to_USD,761222784.0,USD,21916557000.0,PTE,source_b_original_value / 28.75; registered 1968 PTE/USD rate,,,,,
1968,M,World imports,UN Comtrade,INE,1178384896.0,1177663617.3913043,721278.6086957455,0.0006124657313380218,USD,special trade; import values declared by importers and accepted by customs per explanatory note,requires_historical_metadata_review,"INE statistical territories as printed in the 1968 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",unresolved,"World totals differ by 0.0612% after converting at the registered 1968 rate of 28.75 PTE/USD, which exceeds the reconciliation tolerance. Annual period-average conversion is a weaker approximation in years when the rate moved within the year.","INE Volume I PDF page 42 (Quadro X - Comercio especial, por paises e territorios estatisticos); results/diagnostics/comtrade_coverage/comtrade_coverage_audit.csv 1968 M World row; data/interim/live/portugal_exchange_rate_evidence.csv.",721278.6086957455,source_b_value_converted_to_USD,1178384896.0,USD,33857829000.0,PTE,source_b_original_value / 28.75; registered 1968 PTE/USD rate,,,,,
1968,X,Overseas exports,UN Comtrade,INE,189667610.0,190453947.82608697,786337.8260869682,-0.004128755717917765,USD,special trade; export values follow INE explanatory note conventions,Observed Comtrade configured colonial partner subset; INE overseas territories not returned or not registered as Comtrade areas remain unresolved.,Provincias Ultramarinas row in the INE statistical-territory table; individual territories are listed separately below the aggregate row,resolved_for_dataset_ine_preferred_complete_aggregate,"INE provides the complete overseas aggregate and is the preferred source for complete colonial shares. The Comtrade colonial partner subset remains an observed lower-bound diagnostic: it covers only the returned partners, while the contemporaneous INE overseas category includes additional source-specific territories.","INE Volume I PDF page 43 (Quadro X - Comercio especial, por paises e territorios estatisticos); data/interim/live/comtrade_coverage_matrix.csv 1968 colonial partner rows; config/historical_groups.yml colonies group.",-786337.8260869682,source_b_value_converted_to_USD,189667610.0,USD,5475551000.0,PTE,source_b_original_value / 28.75; registered 1968 PTE/USD rate,8,4,0.5,0.9958712442820823,cabo_verde;macao;portuguese_india;sao_tome_principe
1968,M,Overseas imports,UN Comtrade,INE,185909288.0,185835652.17391303,73635.82608696818,0.0003962416534479433,USD,special trade; import values declared by importers and accepted by customs per explanatory note,Observed Comtrade configured colonial partner subset; INE overseas territories not returned or not registered as Comtrade areas remain unresolved.,Provincias Ultramarinas row in the INE statistical-territory table; individual territories are listed separately below the aggregate row,resolved_for_dataset_ine_preferred_complete_aggregate,"INE provides the complete overseas aggregate and is the preferred source for complete colonial shares. The Comtrade colonial partner subset remains an observed lower-bound diagnostic: it covers only the returned partners, while the contemporaneous INE overseas category includes additional source-specific territories.","INE Volume I PDF page 42 (Quadro X - Comercio especial, por paises e territorios estatisticos); data/interim/live/comtrade_coverage_matrix.csv 1968 colonial partner rows; config/historical_groups.yml colonies group.",73635.82608696818,source_b_value_converted_to_USD,185909288.0,USD,5342775000.0,PTE,source_b_original_value / 28.75; registered 1968 PTE/USD rate,8,4,0.5,1.000396241653448,cabo_verde;macao;portuguese_india;sao_tome_principe
1969,X,World exports,UN Comtrade,INE,852978752.0,853078156.5217391,99404.52173912525,-0.00011652451886053198,USD,special trade; export values follow INE explanatory note conventions,requires_historical_metadata_review,INE statistical territories as printed in the 1969 volume; Continente e Ilhas Adjacentes reporting scope,unresolved,"World totals differ by -0.0117% after converting at the registered 1969 rate of 28.75 PTE/USD, which exceeds the reconciliation tolerance. Annual period-average conversion is a weaker approximation in years when the rate moved within the year.",INE Volume I PDF page 28 (Quadro n.o 2 - Comercio especial por paises e territorios estatisticos); results/diagnostics/comtrade_coverage/comtrade_coverage_audit.csv 1969 X World row; data/interim/live/portugal_exchange_rate_evidence.csv.,-99404.52173912525,source_b_value_converted_to_USD,852978752.0,USD,24525997000.0,PTE,source_b_original_value / 28.75; registered 1969 PTE/USD rate,,,,,
1969,M,World imports,UN Comtrade,INE,1297515392.0,1296059860.8695652,1455531.1304347515,0.0011230431358766038,USD,special trade; import values declared by importers and accepted by customs per explanatory note,requires_historical_metadata_review,INE statistical territories as printed in the 1969 volume; Continente e Ilhas Adjacentes reporting scope,unresolved,"World totals differ by 0.1123% after converting at the registered 1969 rate of 28.75 PTE/USD, which exceeds the reconciliation tolerance. Annual period-average conversion is a weaker approximation in years when the rate moved within the year.",INE Volume I PDF page 28 (Quadro n.o 2 - Comercio especial por paises e territorios estatisticos); results/diagnostics/comtrade_coverage/comtrade_coverage_audit.csv 1969 M World row; data/interim/live/portugal_exchange_rate_evidence.csv.,1455531.1304347515,source_b_value_converted_to_USD,1297515392.0,USD,37261721000.0,PTE,source_b_original_value / 28.75; registered 1969 PTE/USD rate,,,,,
