dataset_path,column_name,data_type,unit,description,source_status,analytical_use
data/processed/live/validated_annual_aggregate_external_orientation.csv,observed_colonial_import_share,object,share,observed Comtrade colonial import subtotal divided by Comtrade world imports,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,efta_participation_exports_pte,object,PTE,exports to the contemporaneous EFTA aggregate printed in the INE source,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,efta_participation_imports_pte,object,PTE,imports from the contemporaneous EFTA aggregate printed in the INE source,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,eec_membership_exports_pte,object,PTE,exports to the contemporaneous EEC/CEE aggregate printed in the INE source,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,eec_membership_imports_pte,object,PTE,imports from the contemporaneous EEC/CEE aggregate printed in the INE source,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,fixed_europe_exports_pte,object,PTE,"exports to the constant-composition 11-country European benchmark, summed from individually transcribed partner rows; not total European exports",mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,fixed_europe_imports_pte,object,PTE,"imports from the constant-composition 11-country European benchmark, summed from individually transcribed partner rows; not total European imports",mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,fixed_europe_sample_id,object,identifier,identifier of the configured partner sample the fixed European values were summed from,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,fixed_europe_partner_count,object,count,number of partner countries in the fixed European benchmark sample,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,efta_export_share,object,share,contemporaneous EFTA exports divided by total exports,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,eec_export_share,object,share,contemporaneous EEC/CEE exports divided by total exports,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,fixed_europe_export_share,object,share,"constant-composition 11-country European benchmark exports divided by total exports; a benchmark share, not a total European share",mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,fixed_europe_import_share,object,share,"constant-composition 11-country European benchmark imports divided by total imports; a benchmark share, not a total European share",mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,non_colonial_world_exports_pte,object,PTE,total exports minus complete colonial-market exports; this residual still includes Europe,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,non_colonial_world_imports_pte,object,PTE,total imports minus complete colonial-market imports; this residual still includes Europe,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,residual_destinations_exports_pte,object,PTE,"exports to destinations outside both the colonial market and the European benchmark; still includes European countries outside the benchmark such as Spain, Finland and Ireland",mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,residual_destinations_imports_pte,object,PTE,"imports from destinations outside both the colonial market and the European benchmark; still includes European countries outside the benchmark such as Spain, Finland and Ireland",mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,residual_destinations_export_share,object,share,"residual-destination exports divided by total exports; the third group of the colonial, benchmark and residual decomposition",mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,residual_destinations_import_share,object,share,"residual-destination imports divided by total imports; the third group of the colonial, benchmark and residual decomposition",mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,unassigned_residual_exports_pte,object,PTE,exports not assigned after the explicitly documented aggregate components are reconciled,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,unassigned_residual_imports_pte,object,PTE,imports not assigned after the explicitly documented aggregate components are reconciled,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,colonial_observed_partner_count,object,count,number of colonial partner areas observed in the Comtrade diagnostic subtotal,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,colonial_expected_partner_count,object,count,expected colonial partner-area count for the Comtrade diagnostic subtotal,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,estimate_status,object,status,machine-readable status describing whether values are observed,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,source_status,object,status,machine-readable source availability and review status,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,reconciliation_status,object,status,cross-source reconciliation status,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,source_currency,object,currency,currency of source-backed aggregate monetary values,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,valuation_basis,object,description,source-specific trade valuation convention,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,territorial_definition,object,description,territorial scope documented for the row,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,notes,object,text,free-text caveat or source note,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
