year,flow_code,source,territorial_definition,source_value,source_unit,source_currency,nominal_conversion_method,coverage_definition,included_partners,benchmark_source,benchmark_value,difference_from_benchmark,absolute_discrepancy,percentage_discrepancy,explanatory_note,confidence_status
1968,M,INE,"INE statistical territories as printed in the 1968 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",,nominal merchandise trade,USD,no_registered_exchange_rate_for_1968,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1968 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1968,M,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1968,M,UN Comtrade,requires_historical_metadata_review,1178384896.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,1178384896.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1968,X,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1968,X,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1968,X,INE,"INE statistical territories as printed in the 1968 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",,nominal merchandise trade,USD,no_registered_exchange_rate_for_1968,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1968 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1968,X,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1968,X,UN Comtrade,requires_historical_metadata_review,761222784.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,761222784.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1969,M,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1969,M,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1969,M,INE,INE statistical territories as printed in the 1969 volume; Continente e Ilhas Adjacentes reporting scope,,nominal merchandise trade,USD,no_registered_exchange_rate_for_1969,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1969 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1969,M,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1969,M,UN Comtrade,requires_historical_metadata_review,1297515392.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,1297515392.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1969,X,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1969,X,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1969,X,INE,INE statistical territories as printed in the 1969 volume; Continente e Ilhas Adjacentes reporting scope,,nominal merchandise trade,USD,no_registered_exchange_rate_for_1969,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1969 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1969,X,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1969,X,UN Comtrade,requires_historical_metadata_review,852978752.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,852978752.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1970,M,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1970,M,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1970,M,INE,INE statistical territories as printed in the 1970 volume; verify against page 18,,nominal merchandise trade,USD,no_registered_exchange_rate_for_1970,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1970 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1970,M,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1970,M,UN Comtrade,requires_historical_metadata_review,1589826688.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,1589826688.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1970,X,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1970,X,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1970,X,INE,INE statistical territories as printed in the 1970 volume; verify against page 18,,nominal merchandise trade,USD,no_registered_exchange_rate_for_1970,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1970 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1970,X,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1970,X,UN Comtrade,requires_historical_metadata_review,949225152.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,949225152.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1971,M,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1971,M,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1971,M,INE,INE statistical territories as printed in the 1971 volume; Continente e Ilhas Adjacentes reporting scope,,nominal merchandise trade,USD,no_registered_exchange_rate_for_1971,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1971 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1971,M,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1971,M,UN Comtrade,requires_historical_metadata_review,1823831680.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,1823831680.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1971,X,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1971,X,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1971,X,INE,INE statistical territories as printed in the 1971 volume; Continente e Ilhas Adjacentes reporting scope,,nominal merchandise trade,USD,no_registered_exchange_rate_for_1971,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1971 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1971,X,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1971,X,UN Comtrade,requires_historical_metadata_review,1052598592.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,1052598592.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1972,M,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1972,M,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1972,M,INE,INE statistical territories as printed in the 1972 volume; Continente e Ilhas Adjacentes reporting scope,,nominal merchandise trade,USD,no_registered_exchange_rate_for_1972,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1972 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1972,M,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1972,M,UN Comtrade,requires_historical_metadata_review,2227166208.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,2227166208.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1972,X,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1972,X,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1972,X,INE,INE statistical territories as printed in the 1972 volume; Continente e Ilhas Adjacentes reporting scope,,nominal merchandise trade,USD,no_registered_exchange_rate_for_1972,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1972 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1972,X,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1972,X,UN Comtrade,requires_historical_metadata_review,1293765376.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,1293765376.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1973,M,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1973,M,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1973,M,INE,INE statistical territories as printed in the 1973 volume; verify against page 17,,nominal merchandise trade,USD,no_registered_exchange_rate_for_1973,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1973 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1973,M,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1973,M,UN Comtrade,requires_historical_metadata_review,3072798464.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,3072798464.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1973,X,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1973,X,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1973,X,INE,INE statistical territories as printed in the 1973 volume; verify against page 17,,nominal merchandise trade,USD,no_registered_exchange_rate_for_1973,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1973 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1973,X,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1973,X,UN Comtrade,requires_historical_metadata_review,1861681536.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,1861681536.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
