year,flow_code,partner_group,trade_value_usd,source_quality,annual_group_share
1969,X,efta,276105162.0,selected_partner_records_not_full_world,0.5236139443239433
1969,X,rest_of_world,412875.0,selected_partner_records_not_full_world,0.0007829882849591492
1970,M,colonies,233667075.0,selected_partner_records_not_full_world,0.3420769137662011
1970,M,eec6,124400120.0,selected_partner_records_not_full_world,0.18211555531195428
1970,M,efta,325016245.0,selected_partner_records_not_full_world,0.47580753092184463
1970,X,colonies,232458821.0,selected_partner_records_not_full_world,0.3937008576408348
1970,X,eec6,55344136.0,selected_partner_records_not_full_world,0.0937328758481099
1970,X,efta,302642343.0,selected_partner_records_not_full_world,0.5125662665110553
1971,M,colonies,241496013.0,selected_partner_records_not_full_world,0.32701433795490037
1971,M,eec6,140363040.0,selected_partner_records_not_full_world,0.1900682583895793
1971,M,efta,356628484.0,selected_partner_records_not_full_world,0.4829174036555203
1971,X,colonies,225446933.0,selected_partner_records_not_full_world,0.35592899588985066
1971,X,eec6,57496688.0,selected_partner_records_not_full_world,0.09077408219535205
1971,X,efta,350460613.0,selected_partner_records_not_full_world,0.5532969219147973
1972,M,colonies,258759843.0,selected_partner_records_not_full_world,0.2985761667525041
1972,M,eec6,176538400.0,selected_partner_records_not_full_world,0.20370300949912182
1972,M,efta,431347765.0,selected_partner_records_not_full_world,0.49772082374837406
1972,X,colonies,189372669.0,selected_partner_records_not_full_world,0.2605394624331481
1972,X,eec6,71729328.0,selected_partner_records_not_full_world,0.09868541567532617
1972,X,efta,465746317.0,selected_partner_records_not_full_world,0.6407751218915257
1973,M,colonies,309642994.0,selected_partner_records_not_full_world,0.26915176669097635
1973,M,eec6,257523040.0,selected_partner_records_not_full_world,0.22384740660281485
1973,M,efta,208257874.0,selected_partner_records_not_full_world,0.18102452114387818
1973,M,rest_of_world,375016224.0,selected_partner_records_not_full_world,0.32597630556233065
1973,X,colonies,276364569.0,selected_partner_records_not_full_world,0.26178237425396206
1973,X,eec6,107417020.0,selected_partner_records_not_full_world,0.101749231577096
1973,X,efta,170745752.0,selected_partner_records_not_full_world,0.16173646467806874
1973,X,rest_of_world,501176160.0,selected_partner_records_not_full_world,0.47473192949087323
