year,flow_code,reporter_code,reporter_available,available_classifications,multiple_classifications_available,preferred_classification_for_checks,colonial_partner_codes_present,colonial_partner_count_present,world_value_usd,selected_partner_sum_usd,selected_coverage_ratio,unselected_world_value_usd,coverage_status,valuation_note,territorial_definition_status,territorial_definition,territorial_definition_evidence_count,territorial_definition_evidence_summary
1967,X,620,True,S1,False,S1,24;508;624;626,4,701361664.0,529703001.0,0.7552494357604352,171658663.0,selected_partner_subset,Verified from local Comtrade fields: exports use FOB value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1967,M,620,True,S1,False,S1,24;508;624;626,4,1059153920.0,758198955.0,0.7158534191140038,300954965.0,selected_partner_subset,Verified from local Comtrade fields: imports use CIF value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1968,X,620,True,S1,False,S1,24;508;624;626,4,761222784.0,579928070.0,0.7618375095824772,181294714.0,selected_partner_subset,Verified from local Comtrade fields: exports use FOB value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1968,M,620,True,S1,False,S1,24;508;624;626,4,1178384896.0,848919769.0,0.7204095808437789,329465127.0,selected_partner_subset,Verified from local Comtrade fields: imports use CIF value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1969,X,620,True,S1,False,S1,24;508;624;626,4,852978752.0,673437933.0,0.7895131401819491,179540819.0,selected_partner_subset,Verified from local Comtrade fields: exports use FOB value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1969,M,620,True,S1,False,S1,24;508;624;626,4,1297515392.0,959407352.0,0.7394188600114888,338108040.0,selected_partner_subset,Verified from local Comtrade fields: imports use CIF value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1970,X,620,True,S1,False,S1,24;132;446;508;624;626;678,7,949225152.0,746284010.0,0.7862033664274417,202941142.0,selected_partner_subset,Verified from local Comtrade fields: exports use FOB value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1970,M,620,True,S1,False,S1,24;132;446;508;624;626;678,7,1589826688.0,1148923375.0,0.72267208977687,440903313.0,selected_partner_subset,Verified from local Comtrade fields: imports use CIF value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1971,X,620,True,S1,False,S1,24;132;446;508;624;626;678,7,1052598592.0,820975618.0,0.7799512789011976,231622974.0,selected_partner_subset,Verified from local Comtrade fields: exports use FOB value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1971,M,620,True,S1,False,S1,24;132;446;508;624;626;678,7,1823831680.0,1293791008.0,0.7093807077635585,530040672.0,selected_partner_subset,Verified from local Comtrade fields: imports use CIF value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1972,X,620,True,S1,False,S1,24;132;446;508;624;626;678,7,1293765376.0,989484586.0,0.764809914034985,304280790.0,selected_partner_subset,Verified from local Comtrade fields: exports use FOB value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1972,M,620,True,S1,False,S1,24;132;446;508;624;626;678,7,2227166208.0,1504227158.0,0.6753995964004856,722939050.0,selected_partner_subset,Verified from local Comtrade fields: imports use CIF value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1973,X,620,True,S1,False,S1,24;132;446;508;624;626;678,7,1861681536.0,1438617312.0,0.7727515604473396,423064224.0,selected_partner_subset,Verified from local Comtrade fields: exports use FOB value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1973,M,620,True,S1,False,S1,24;132;446;508;624;626;678,7,3072798464.0,2045278087.0,0.6656076247635094,1027520377.0,selected_partner_subset,Verified from local Comtrade fields: imports use CIF value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
