year,flow_code,partner_group,commodity_code_source,trade_value_usd,product_share_within_group,source_quality
1964,X,colonies,TOTAL,128641990.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1964,X,eec_current,TOTAL,29153135.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1964,X,efta_current,TOTAL,118653536.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1964,X,requested_unclassified_partner,TOTAL,1511241.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1965,M,colonies,TOTAL,126958500.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1965,M,eec_current,TOTAL,70439448.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1965,M,efta_current,TOTAL,161801463.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1965,M,requested_unclassified_partner,TOTAL,2680245.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1965,X,colonies,TOTAL,143866044.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1965,X,eec_current,TOTAL,32406553.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1965,X,efta_current,TOTAL,142555805.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1965,X,requested_unclassified_partner,TOTAL,2130063.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1966,M,colonies,TOTAL,137102531.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1966,M,eec_current,TOTAL,83374512.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1966,M,efta_current,TOTAL,196918753.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1966,M,requested_unclassified_partner,TOTAL,5223892.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1966,X,colonies,TOTAL,145838524.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1966,X,eec_current,TOTAL,35793797.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1966,X,efta_current,TOTAL,162498004.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1966,X,requested_unclassified_partner,TOTAL,1776515.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1967,M,colonies,TOTAL,151344788.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1967,M,eec_current,TOTAL,92794272.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1967,M,efta_current,TOTAL,199174656.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1967,M,requested_unclassified_partner,TOTAL,5669318.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1967,X,colonies,TOTAL,170851590.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1967,X,eec_current,TOTAL,33646784.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1967,X,efta_current,TOTAL,219039087.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1967,X,requested_unclassified_partner,TOTAL,1748485.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1968,M,colonies,TOTAL,185909288.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1968,M,eec_current,TOTAL,99229982.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1968,M,efta_current,TOTAL,214385676.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1968,M,requested_unclassified_partner,TOTAL,3452617.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1968,X,colonies,TOTAL,189667610.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1968,X,eec_current,TOTAL,33544577.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1968,X,efta_current,TOTAL,237583890.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1968,X,requested_unclassified_partner,TOTAL,2340742.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1969,M,colonies,TOTAL,194974368.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1969,M,eec_current,TOTAL,109373804.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1969,M,efta_current,TOTAL,254126668.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1969,M,requested_unclassified_partner,TOTAL,6658055.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1969,X,colonies,TOTAL,211356325.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1969,X,eec_current,TOTAL,39432378.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1969,X,efta_current,TOTAL,276105162.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1969,X,requested_unclassified_partner,TOTAL,2469893.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1970,M,colonies,TOTAL,233667075.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1970,M,eec_current,TOTAL,124400120.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1970,M,efta_current,TOTAL,325016245.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1970,M,requested_unclassified_partner,TOTAL,768308.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1970,X,colonies,TOTAL,232458821.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1970,X,eec_current,TOTAL,55344136.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1970,X,efta_current,TOTAL,302642343.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1970,X,requested_unclassified_partner,TOTAL,3734934.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1971,M,colonies,TOTAL,241496013.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1971,M,eec_current,TOTAL,140363040.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1971,M,efta_current,TOTAL,356628484.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1971,M,requested_unclassified_partner,TOTAL,1034891.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1971,X,colonies,TOTAL,225446933.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1971,X,eec_current,TOTAL,57496688.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1971,X,efta_current,TOTAL,350460613.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1971,X,requested_unclassified_partner,TOTAL,4288703.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1972,M,colonies,TOTAL,258759843.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1972,M,eec_current,TOTAL,176538400.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1972,M,efta_current,TOTAL,431347765.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1972,M,requested_unclassified_partner,TOTAL,1975258.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1972,X,colonies,TOTAL,189372669.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1972,X,eec_current,TOTAL,71729328.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1972,X,efta_current,TOTAL,465746317.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1972,X,requested_unclassified_partner,TOTAL,6538186.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1973,M,colonies,TOTAL,309642994.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1973,M,eec_current,TOTAL,634313255.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1973,M,efta_current,TOTAL,208257874.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1973,X,colonies,TOTAL,276364569.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1973,X,eec_current,TOTAL,616696935.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1973,X,efta_current,TOTAL,170745752.0,1.0,diagnostic_aggregate_total_only_no_product_detail
