year,flow_code,partner_group,trade_value_usd,source_quality,selected_partner_share
1970,X,colonies,232458821.0,diagnostic_selected_partners_not_world_denominator,0.39122610901257276
1970,X,eec_current,55344136.0,diagnostic_selected_partners_not_world_denominator,0.09314368407616871
1970,X,efta_current,302642343.0,diagnostic_selected_partners_not_world_denominator,0.509344346516919
1970,X,requested_unclassified_partner,3734934.0,diagnostic_selected_partners_not_world_denominator,0.00628586039433954
1971,M,colonies,241496013.0,diagnostic_selected_partners_not_world_denominator,0.32655671262481306
1971,M,eec_current,140363040.0,diagnostic_selected_partners_not_world_denominator,0.18980227601697564
1971,M,efta_current,356628484.0,diagnostic_selected_partners_not_world_denominator,0.4822416068765936
1971,M,requested_unclassified_partner,1034891.0,diagnostic_selected_partners_not_world_denominator,0.0013994044816176962
1971,X,colonies,225446933.0,diagnostic_selected_partners_not_world_denominator,0.3535352517162974
1971,X,eec_current,57496688.0,diagnostic_selected_partners_not_world_denominator,0.09016359546099223
1971,X,efta_current,350460613.0,diagnostic_selected_partners_not_world_denominator,0.5495758109674657
1971,X,requested_unclassified_partner,4288703.0,diagnostic_selected_partners_not_world_denominator,0.006725341855244666
1972,M,colonies,258759843.0,diagnostic_selected_partners_not_world_denominator,0.2978971999978642
1972,M,eec_current,176538400.0,diagnostic_selected_partners_not_world_denominator,0.20323978575030652
1972,M,efta_current,431347765.0,diagnostic_selected_partners_not_world_denominator,0.496588999007998
1972,M,requested_unclassified_partner,1975258.0,diagnostic_selected_partners_not_world_denominator,0.002274015243831251
1972,X,colonies,189372669.0,diagnostic_selected_partners_not_world_denominator,0.25821673701383924
1972,X,eec_current,71729328.0,diagnostic_selected_partners_not_world_denominator,0.09780562909189083
1972,X,efta_current,465746317.0,diagnostic_selected_partners_not_world_denominator,0.6350625720544352
1972,X,requested_unclassified_partner,6538186.0,diagnostic_selected_partners_not_world_denominator,0.008915061839834794
1973,M,colonies,309642994.0,diagnostic_selected_partners_not_world_denominator,0.2687373707881551
1973,M,eec_current,634313255.0,diagnostic_selected_partners_not_world_denominator,0.5505168200407486
1973,M,efta_current,208257874.0,diagnostic_selected_partners_not_world_denominator,0.18074580917109623
1973,X,colonies,276364569.0,diagnostic_selected_partners_not_world_denominator,0.2597881970077482
1973,X,eec_current,616696935.0,diagnostic_selected_partners_not_world_denominator,0.5797073967316501
1973,X,efta_current,170745752.0,diagnostic_selected_partners_not_world_denominator,0.16050440626060178
