year,flow_code,partner_group,trade_value_usd,source_quality
1966,M,efta_current_membership,196918753.0,diagnostic_selected_partners_not_world_denominator
1966,M,requested_unclassified_partner,4085221.0,diagnostic_selected_partners_not_world_denominator
1966,M,western_europe_fixed_sample,1138671.0,diagnostic_selected_partners_not_world_denominator
1966,X,colonies,145838524.0,diagnostic_selected_partners_not_world_denominator
1966,X,eec_current_membership,35793797.0,diagnostic_selected_partners_not_world_denominator
1966,X,efta_current_membership,162498004.0,diagnostic_selected_partners_not_world_denominator
1966,X,requested_unclassified_partner,411311.0,diagnostic_selected_partners_not_world_denominator
1966,X,western_europe_fixed_sample,1365204.0,diagnostic_selected_partners_not_world_denominator
1967,M,colonies,151344788.0,diagnostic_selected_partners_not_world_denominator
1967,M,eec_current_membership,92794272.0,diagnostic_selected_partners_not_world_denominator
1967,M,efta_current_membership,199174656.0,diagnostic_selected_partners_not_world_denominator
1967,M,requested_unclassified_partner,5249111.0,diagnostic_selected_partners_not_world_denominator
1967,M,western_europe_fixed_sample,420207.0,diagnostic_selected_partners_not_world_denominator
1967,X,colonies,170851590.0,diagnostic_selected_partners_not_world_denominator
1967,X,eec_current_membership,33646784.0,diagnostic_selected_partners_not_world_denominator
1967,X,efta_current_membership,219039087.0,diagnostic_selected_partners_not_world_denominator
1967,X,requested_unclassified_partner,235562.0,diagnostic_selected_partners_not_world_denominator
1967,X,western_europe_fixed_sample,1512923.0,diagnostic_selected_partners_not_world_denominator
1968,M,colonies,185909288.0,diagnostic_selected_partners_not_world_denominator
1968,M,eec_current_membership,99229982.0,diagnostic_selected_partners_not_world_denominator
1968,M,efta_current_membership,214385676.0,diagnostic_selected_partners_not_world_denominator
1968,M,requested_unclassified_partner,2957123.0,diagnostic_selected_partners_not_world_denominator
1968,M,western_europe_fixed_sample,495494.0,diagnostic_selected_partners_not_world_denominator
1968,X,colonies,189667610.0,diagnostic_selected_partners_not_world_denominator
1968,X,eec_current_membership,33544577.0,diagnostic_selected_partners_not_world_denominator
1968,X,efta_current_membership,237583890.0,diagnostic_selected_partners_not_world_denominator
1968,X,requested_unclassified_partner,239304.0,diagnostic_selected_partners_not_world_denominator
1968,X,western_europe_fixed_sample,2101438.0,diagnostic_selected_partners_not_world_denominator
1969,M,colonies,194974368.0,diagnostic_selected_partners_not_world_denominator
1969,M,eec_current_membership,109373804.0,diagnostic_selected_partners_not_world_denominator
1969,M,efta_current_membership,254126668.0,diagnostic_selected_partners_not_world_denominator
1969,M,requested_unclassified_partner,5577130.0,diagnostic_selected_partners_not_world_denominator
1969,M,western_europe_fixed_sample,1080925.0,diagnostic_selected_partners_not_world_denominator
1969,X,colonies,211356325.0,diagnostic_selected_partners_not_world_denominator
1969,X,eec_current_membership,39432378.0,diagnostic_selected_partners_not_world_denominator
1969,X,efta_current_membership,276105162.0,diagnostic_selected_partners_not_world_denominator
1969,X,requested_unclassified_partner,412875.0,diagnostic_selected_partners_not_world_denominator
1969,X,western_europe_fixed_sample,2057018.0,diagnostic_selected_partners_not_world_denominator
1970,M,colonies,233667075.0,diagnostic_selected_partners_not_world_denominator
1970,M,eec_current_membership,124400120.0,diagnostic_selected_partners_not_world_denominator
1970,M,efta_current_membership,325016245.0,diagnostic_selected_partners_not_world_denominator
1970,M,western_europe_fixed_sample,768308.0,diagnostic_selected_partners_not_world_denominator
1970,X,colonies,232458821.0,diagnostic_selected_partners_not_world_denominator
1970,X,eec_current_membership,55344136.0,diagnostic_selected_partners_not_world_denominator
1970,X,efta_current_membership,302642343.0,diagnostic_selected_partners_not_world_denominator
1970,X,western_europe_fixed_sample,3734934.0,diagnostic_selected_partners_not_world_denominator
1971,M,colonies,241496013.0,diagnostic_selected_partners_not_world_denominator
1971,M,eec_current_membership,140363040.0,diagnostic_selected_partners_not_world_denominator
1971,M,efta_current_membership,356628484.0,diagnostic_selected_partners_not_world_denominator
1971,M,western_europe_fixed_sample,1034891.0,diagnostic_selected_partners_not_world_denominator
1971,X,colonies,225446933.0,diagnostic_selected_partners_not_world_denominator
1971,X,eec_current_membership,57496688.0,diagnostic_selected_partners_not_world_denominator
1971,X,efta_current_membership,350460613.0,diagnostic_selected_partners_not_world_denominator
1971,X,western_europe_fixed_sample,4288703.0,diagnostic_selected_partners_not_world_denominator
1972,M,colonies,258759843.0,diagnostic_selected_partners_not_world_denominator
1972,M,eec_current_membership,176538400.0,diagnostic_selected_partners_not_world_denominator
1972,M,efta_current_membership,431347765.0,diagnostic_selected_partners_not_world_denominator
1972,M,western_europe_fixed_sample,1975258.0,diagnostic_selected_partners_not_world_denominator
1972,X,colonies,189372669.0,diagnostic_selected_partners_not_world_denominator
1972,X,eec_current_membership,71729328.0,diagnostic_selected_partners_not_world_denominator
1972,X,efta_current_membership,465746317.0,diagnostic_selected_partners_not_world_denominator
1972,X,western_europe_fixed_sample,6538186.0,diagnostic_selected_partners_not_world_denominator
1973,M,colonies,309642994.0,diagnostic_selected_partners_not_world_denominator
1973,M,eec_current_membership,634313255.0,diagnostic_selected_partners_not_world_denominator
1973,M,efta_current_membership,208257874.0,diagnostic_selected_partners_not_world_denominator
1973,X,colonies,276364569.0,diagnostic_selected_partners_not_world_denominator
1973,X,eec_current_membership,616696935.0,diagnostic_selected_partners_not_world_denominator
1973,X,efta_current_membership,170745752.0,diagnostic_selected_partners_not_world_denominator
